,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
2165,1667327.52,Klebsiella quasipneumoniae subsp. quasipneumoniae strain 01A030T,negative,,1667327,Complete,01A030T,,,,MLST.Klebsiella_pneumoniae.1528,,,,2021-10-19T00:00:00Z,,PRJNA768294,SAMN22024800,GCA_020525925.1,,"CP084876,CP084877",,Monash University,,Minion (Oxford Nanopore) and NextSeq,50x,Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3;,1,1,2,5507230,58.001953,5391,5169,Blood,blood,,1997,,Austria,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,Complete genomes from a range of Klebsiella species across the Klebsiella pneumoniae species complex. Some genomes overlapping with PRJEB15325,"sample_type:Whole organism;biomaterial_provider:Department of Infectious Diseases, Monash University, Melbourne, Victoria, Australia",99.8,98.6,,,,Good,2021-12-24T12:04:07.801Z,2021-12-24T12:04:07.801Z
2169,1686392.3,Enterobacter sp. MGH120,negative,,1686392,Complete,MGH120,,,,MLST.Enterobacter_cloacae.79,,,,2015-07-21T00:00:00Z,,PRJNA271899,SAMN03280184,GCF_001037725.1,"SRR2127462,SRR2127492,SRR2135077,SRR2135149",LETH01000000,,Broad Institute,,Illumina,134.0x,allpaths v. R48559,,,1,4607622,55.51,4331,4228,None,,,2014,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Sequencing of Carbapenem resistant bacteria Genome sequencing,,99.5,98.4,100,,,Good,2016-01-17T16:09:58.196Z,2016-01-17T16:09:58.196Z
2170,1686396.3,Enterobacter sp. BIDMC93,negative,,1686396,Complete,BIDMC93,,,,MLST.Enterobacter_cloacae.677,,,,2015-07-21T00:00:00Z,,PRJNA271899,SAMN03280188,GCF_001037805.1,"SRR2127654,SRR2127796,SRR2131448,SRR2135242",LETL01000000,,Broad Institute,,Illumina,135.0x,allpaths v. R48559,,,1,4701014,55.52,4369,4273,None,,,2013,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Sequencing of Carbapenem resistant bacteria Genome sequencing,,99.5,98.6,100,,,Good,2016-01-17T16:09:59.796Z,2016-01-17T16:09:59.796Z
2174,1697043.4,Bordetella sp. H567,negative,,1697043,Complete,H567,,,,,,,,2016-08-12T00:00:00Z,,PRJNA287884,SAMN03940794,GCF_001704295.1,"SRR5070890,SRR5070985",CP012334,NZ_CP012334.1,Centers for Disease Control and Prevention,,PacBio RSII; Illumina HiSeq,184x,HGAP v. 3,1,,1,5532470,66.12,5072,4630,None,,,2010,USA,USA: CA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to characterize genomes of Bordetella species other than B. pertussis. Members of the genus Bordetella cause respiratory and opportunistic infection in a variety of hosts. These data are being made available to facilitate comparative analyses for the study of this important group of bacterial pathogens.,,97.9,94.6,97.1,4.3,,Good,2016-09-11T19:48:45.244Z,2016-09-11T19:48:45.244Z
2201,1759399.3,Streptococcus sp. A12,positive,,1759399,Complete,A12,,,,,,,,2016-03-11T00:00:00Z,26826230,PRJNA302800,SAMN04287214,GCF_001587175.1,SRR2984661,CP013651,NZ_CP013651.1,University of Florida,,PacBio,100,HGAP.3 v. 1,1,,1,1874337,42.21,1799,1730,Mouth,supragingival plaque from caries-free child,isolated from a human plaque sample capable of inhibiting Streptococcus mutans,2013,USA,USA: Florida,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,A highly arginolytic strain of Streptococci that was isolated from a human plaque sample capable of inhibiting Streptococcus mutans.,sample_type:whole organism,99.2,98.7,98.3,0.5,,Good,2016-03-18T15:36:06.381Z,2016-03-18T15:36:06.381Z
2669,1806053.29,Corynebacterium diphtheriae bv. mitis strain PC0646,positive,,1806053,Complete,PC0646,,,,,,,,2020-09-30T00:00:00Z,,PRJNA541849,SAMN11811052,GCA_014826095.1,,CP040557,,"Divison of Bacterial Diseases, Centers for Disease Control",,PacBio RSII; Illumina MiSeq,316x,HGAP v. 3,1,,1,2386265,53.513,2386,2242,Wound,Wound,"recovered from clinical specimens, most notably C. diphtheriae from human respiratory, blood, or cutaneous infection",2018,USA,USA: WA,,,,,,"Human, Homo sapiens",,,diphtheria,,,,,,,,,,,,,,,,"The Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention characterizes isolates of Corynebacterium species recovered from clinical specimens, most notably C. diphtheriae from human respiratory, blood, or cutaneous infection. However, collection does include some isolates from other sources. Isolates of C. diphtheriae and C. ulcerans have been tested for the presence and expression of diphtheria toxin. These data are made available to facilitate genomic study of these pathogens.",,99.9,99,,,,Good,2020-11-29T01:19:59.868Z,2020-11-29T01:19:59.868Z
2675,1812934.3,Enterobacter cloacae complex 'Hoffmann cluster III' strain DSM 14563,negative,,1812934,Complete,DSM 14563,,,,MLST.Enterobacter_cloacae.816,,DSM:14563,,2016-09-16T00:00:00Z,,PRJNA259658,SAMN05581748,GCF_001729745.1,SRR4045259,"CP017186,CP017187","NZ_CP017186.1,NZ_CP017187.1",JCVI,,PacBio,15.31x,HGAP v. 3.0.0,1,1,2,4678566,55.33,4443,4323,None,,,,Germany,Germany,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",,99.6,98.9,100,,,Good,2016-11-16T11:25:28.680Z,2016-11-16T11:25:28.680Z
2682,1812935.7,Enterobacter cloacae complex 'Hoffmann cluster IV' strain DSM 16690,negative,,1812935,Complete,DSM 16690,,,,MLST.Enterobacter_cloacae.905,,DSM:16690,,2016-09-16T00:00:00Z,,PRJNA259658,SAMN05581750,GCF_001729805.1,SRR4045261,"CP017184,CP017185","NZ_CP017184.1,NZ_CP017185.1",JCVI,,PacBio,13.1x,HGAP v. 3.0.0,1,1,2,4899997,56.04,4665,4489,None,,,,Germany,Germany,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",,99.5,98.3,100,,,Good,2016-11-16T11:35:16.810Z,2016-11-16T11:35:16.810Z
2685,1839798.3,Bacillus sp. FDAARGOS_235 strain FDAARGOS_235,positive,,1839798,Complete,FDAARGOS_235,,,,,,FDA:FDAARGOS_235,,2017-03-29T00:00:00Z,,PRJNA231221,SAMN04875572,,,"CP020437,CP020434,CP020436,CP020435",,US Food and Drug Administration,,PacBio,14.0110509265725x,HGAP v. 3,1,3,4,5608141,35.28,6019,5799,Blood,Blood,,15-Sep-14,USA,USA:DC,,,,,,"Human, Homo sapiens",male,4Y,CVL infection,,,,,,,,,,,,,,,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:Children's National Hospital,99.7,98.1,100,1.2,,Good,2017-05-28T05:09:15.552Z,2017-05-28T05:09:15.552Z
2688,1920110.3,Citrobacter sp. CFNIH10,negative,,1920110,Complete,CFNIH10,,,,MLST.Citrobacter_freundii.299,,,,2018-02-06T00:00:00Z,,PRJNA430813,SAMN06040393,GCA_002934585.1,,"CP026216,CP026212,CP026215,CP026214,CP026211,CP026210,CP026213",,NIH,,PacBio RSII,253x,HGAP v. 2.3,1,6,7,5738233,52.989502,5999,5817,None,patients and hospital environment,isolated from patients and hospital environment,2016,USA,United States,,,,,env_biome:wastewater/sludge,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",,99.2,97.6,99.7,,,Good,2018-05-25T23:56:16.845Z,2018-05-25T23:56:16.845Z
2690,1935181.3,Shigella flexneri 1c strain Y394,negative,,1935181,Complete,Y394,1c,,,,,,,2017-10-04T00:00:00Z,28899344,PRJNA382451,SAMN06706581,GCA_002442995.1,,CP020753,,Australian National University,,PacBio; Illumina MiSeq,203.0x,HGAP3.3 SMRT Pipeline v. 2.3.0; Pilon v.,1,,1,4584634,50.91,5175,4822,Stool,Human stool sample,,1988,Bangladesh,Bangladesh: Matlab,,,,,,"Human, Homo sapiens",,,Shigellosis,,,,,,,,,,,,,,,,"Shigella species cause bacillary dysentery – a severe form of diarrhoea, characterized by acute colonic and rectal mucosal inflammation leading to fever, abdominal cramps and bloody mucoid stools. Out of four species of Shigella, S. flexneri is the most prevalent enteric pathogen in developing countries. Shigella is transmitted through faecal-oral route and can cause gastrointestinal infection via an exceptionally low infectious dose (as many as 10 bacteria). S. flexneri is classified into different serotypes based on the O-antigen structure of its lipopolysaccharide. The serotype conversion is mediated by bacteriophages and plasmids carrying genes that modify the O-antigen. The S. flexneri serotype 1c is a novel serotype, which has now been found to be prevalent in many developing countries. However, little is known about its virulence signatures and evolution. Here, we provide the unique features of this serotype through the whole genome sequencing and bioinformatics tools. We also identified it as a highly adaptive pathogen with unique O-antigen modification possibly mediated by three different bacteriophages during its evolution. Furthermore, this serotype possesses several hypothetical genes and putative bacteriophage regions that will guide future investigation to identify novel genes involved in pathogen’s virulence and its survival in the host environment.;many frameshifted proteins",collected_by:Nils I. A. Carlin,99.6,97.5,99.6,,,Good,2017-11-23T02:52:19.805Z,2017-11-23T02:52:19.805Z
2700,1962118.4,Mycobacterium abscessus subsp. massiliense strain FLAC047,positive,,1962118,Complete,FLAC047,,,,,,,,2017-05-15T00:00:00Z,,PRJNA315990,SAMN06859124,,,CP021122,,University of Michigan Medical School,,Illumina,150X,SPAdes v. 3.5.0,1,,1,4936470,64.25,4924,4851,None,,,2015,USA,United States,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Whole genome sequencing of M. abscessus complex isolates.,collected_by:Lindsay J. Caverly,98.5,97.4,100,,,Good,2017-05-29T19:52:42.903Z,2017-05-29T19:52:42.903Z
2831,1977852.3,Bordetella sp. J329,negative,,1977852,Complete,J329,,,,,,,,2019-01-09T00:00:00Z,,PRJNA287884,SAMN06350661,GCA_004006215.1,,CP021250,,Centers for Disease Control and Prevention,,PacBio RSII; Illumina MiSeq,157x,HGAP v. 3,1,,1,3925525,62.284,3727,3429,None,,,2015,USA,USA: GA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to characterize genomes of Bordetella species other than B. pertussis. Members of the genus Bordetella cause respiratory and opportunistic infection in a variety of hosts. These data are being made available to facilitate comparative analyses for the study of this important group of bacterial pathogens.,,95.6,93.8,,,,Good,2019-02-01T04:38:24.971Z,2019-02-01T04:38:24.971Z
2842,2026186.18,Bacillus paranthracis strain NCCP 15910,positive,,2026186,Complete,NCCP 15910,,,,MLST.Bacillus_cereus.994,,NCCP:15910,,2020-01-15T00:00:00Z,,PRJNA556101,SAMN12340779,GCA_009884335.1,,"CP041981,CP041980",,Korea Centers for Disease Control & Prevention (KCDC),,IonTorrent; PacBio,207.0x,SPAdes v. 3.1,1,1,2,5507895,35.40349,6090,5589,Stool,stool,,5/20/13,South Korea,South Korea: Seoul,,,,,,"Human, Homo sapiens",,,diarrhea,,,,,,,,,,,,,,,,A clinical isolate of the genus Bacillus,collected_by:Korea National Institute of Health,97.9,94.9,,,,Good,2020-02-01T15:58:05.936Z,2020-02-01T15:58:05.936Z
2843,2026187.8,Bacillus pacificus strain NCCP 15909,positive,,2026187,Complete,NCCP 15909,,,,MLST.Bacillus_cereus.1032,,NCCP:15909,,2020-01-15T00:00:00Z,,PRJNA556100,SAMN12340734,GCA_009884315.1,,"CP041979,CP041978,CP041977",,Korea Centers for Disease Control & Prevention (KCDC),,PacBio; IonTorrent,243.0x,SPAdes v. 3.1,1,2,3,5463271,35.450447,6078,5558,Stool,stool,,3/13/13,South Korea,South Korea: Seoul,,,,,,"Human, Homo sapiens",,,diarrhea,,,,,,,,,,,,,,,,A clinical isolate of the genus Bacillus,collected_by:Korea National Institute of Health,97.9,94.8,,,,Good,2020-02-07T13:50:54.571Z,2020-02-07T13:50:54.571Z
2847,2026240.33,Klebsiella quasivariicola strain 08A119,negative,,2026240,Complete,08A119,,,,MLST.Klebsiella_pneumoniae.1214,,,,2021-10-19T00:00:00Z,,PRJNA768294,SAMN22024810,GCA_020525665.1,,"CP084768,CP084769",,Monash University,,Minion (Oxford Nanopore) and NextSeq,50x,Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3;,1,1,2,5869016,56.822468,5862,5570,Blood,blood,,1997,,Germany,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,Complete genomes from a range of Klebsiella species across the Klebsiella pneumoniae species complex. Some genomes overlapping with PRJEB15325,"sample_type:Whole organism;biomaterial_provider:Department of Infectious Diseases, Monash University, Melbourne, Victoria, Australia",99.6,98.2,,,,Good,2021-12-24T12:04:04.323Z,2021-12-24T12:04:04.323Z
2857,2027919.315,Enterobacter cloacae complex sp. strain ECL60,negative,,2027919,Complete,ECL60,,,,,,,,2021-09-15T00:00:00Z,,PRJNA757181,SAMN20825299,GCA_019998725.1,,"CP083234,CP083235,CP083236",,Yongchuan Hospital of Chongqing Medical University,,Oxford Nanopore PromethION,500.0x,canu v. 1.6,1,2,3,4954601,54.794724,4826,4650,Blood,blood,,9/22/17,China,"China: Jiamusi, Heilongjiang Province",,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,"Carbapenem-resistant Enterobacteriaceae (CRE) has been considered a serious global threat, the objectives of our study were the following: (i) to describe the prevalence of clinical CRE isolates, (ii) to identify the mechanisms and clonal relatedness among these CRE strains, (iii) to examine the genetic context of IMP-4.",sample_type:Pure culture,99.6,98.5,,,,Good,2021-12-24T00:49:45.676Z,2021-12-24T00:49:45.676Z
2861,2048778.3,Escherichia coli O178:H19 strain 2012C-4431,negative,,2048778,Complete,2012C-4431,O178:H19,,STEC,MLST.Escherichia_coli_2.537,,,,2017-11-02T00:00:00Z,,PRJNA218110,SAMN04851096,GCA_002741595.1,,"CP024289,CP024290,CP024291,CP024292",,CDC,,PacBio,430.0x,HGAP v. 3,1,3,4,5307783,50.76,5316,,Stool,stool,,10/18/12,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,PulseNet STEC genome reference library,collected_by:EDLB-CDC,99.8,98.7,100,,,Good,2017-11-24T17:08:58.323Z,2017-11-24T17:08:58.323Z
2863,2058152.49,Klebsiella grimontii strain 5512.56,negative,,2058152,Complete,5512.56,,,,MLST.Klebsiella_oxytoca.16,,,,2021-04-08T00:00:00Z,,PRJNA689715,SAMN17215154,GCA_017863935.1,,"CP067391,CP067390,CP067389,CP067384,CP067388,CP067387,CP067386,CP067385",,University of Bern,,Illumina NovaSeq; Oxford Nanopore MinION,262.28x,Unicycler v. 0.4.8,1,7,8,6193468,55.697018,6101,5770,None,Not defined,,2014-09,Switzerland,Switzerland,,,,,,Homo sapiens,,,Not defined,,,,,,,,,,,,,,,,"Whole genome sequencing and characterization of two multidrug-resistant K. grimontii strains possessing blaVIM-1 and blaVIM-1 together with mcr-9, respectively.","collected_by:Institute for Infectious Diseases, University of Bern, Friedbuehlstrasse 51, 3001 Bern, Switzerland",99.6,97.4,,,,Good,2021-04-25T14:54:23.331Z,2021-04-25T14:54:23.331Z
2865,2067421.3,Escherichia coli O25:H4 strain 18044,negative,,2067421,Complete,18044,,,,"MLST.Escherichia_coli_2.43,MLST.Escherichia_coli_1.131",,,,2020-12-22T00:00:00Z,32866241,PRJDB9114,SAMD00199041,GCA_016756455.1,,"AP022326,AP022327,AP022328,AP022329,AP022330,AP022331",,Fukuoka Institute of Health and Environmental Sciences,,Sequel; GridION X5; MiSeq,56x,Unicycler v. 0.4.4,1,5,6,5256311,50.861755,5285,4988,None,persons infected with HNoV,derived from persons infected with HNoV,2018,Japan,Japan,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"The proportion of Enterobacteriaceae such as Escherichia coli increases in human gut microbiota after infection with norovirus (HNoV). This shows that HNoV-infected persons are susceptible to Enterobacteriaceae. When a HNoV-infected person is further infected with Enterobacteriaceae possessing strong pathogenicity and/or showing multiple antimicrobial-resistances, health condition of the person may be worse. Aims of this project are to evaluate pathogenicity and antimicrobial resistance of Enterobacteriaceae which derived from persons infected with HNoV.",,99.9,98.9,,,,Good,2021-02-01T08:03:16.445Z,2021-02-01T08:03:16.445Z
2868,2072463.9,Escherichia coli O78 strain 3,negative,,2072463,Complete,3,O78,,,MLST.Escherichia_coli_1.57,,,,2021-10-03T00:00:00Z,,PRJNA765063,SAMN21542538,GCA_020217445.1,,"CP084096,CP084097",,The First Hospital of Jilin University,,Illumina HiSeq 4000 platform,99.92x,SOAPdenovo v. July-2020,1,1,2,5360188,50.65537,5341,5021,Sputum,sputum,,5/5/16,China,China:Jilin Province,,,,,,Homo sapiens,,,pneumonia,,,,,,,,,,,,,,,,To find the relevant gene for biofilms information,collected_by:Zhimin Guo,99.9,99.2,,,,Good,2021-10-31T06:58:21.906Z,2021-10-31T06:58:21.906Z
2869,2077147.3,Citrobacter freundii complex sp. CFNIH3,negative,,2077147,Complete,CFNIH3,,,,MLST.Citrobacter_freundii.110,,,,2018-01-29T00:00:00Z,,PRJNA430813,SAMN03455982,GCA_002903215.1,,"CP026235,CP026237,CP026236",,NIH,,PacBio RSII,215x,HGAP v. 2.3,1,2,3,5634842,51.874233,5755,5561,None,patients and hospital environment,isolated from patients and hospital environment,2014,USA,United States,,,,,env_biome:waste water,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",,99.3,96.5,100,0.3,,Good,2018-05-25T20:31:40.101Z,2018-05-25T20:31:40.101Z
2870,2077148.3,Citrobacter freundii complex sp. CFNIH4,negative,,2077148,Complete,CFNIH4,,,,MLST.Citrobacter_freundii.167,,,,2018-02-06T00:00:00Z,,PRJNA430813,SAMN03455986,GCA_002934505.1,,"CP026231,CP026233,CP026234,CP026232",,NIH,,PacBio RSII,200x,HGAP v. 2.3,1,3,4,5629494,51.75078,5883,5724,None,patients and hospital environment,isolated from patients and hospital environment,2014,USA,United States,,,,,env_biome:waste water,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",,99,97.3,100,,,Good,2018-05-25T23:54:30.428Z,2018-05-25T23:54:30.428Z
2871,2077149.3,Citrobacter freundii complex sp. CFNIH9,negative,,2077149,Complete,CFNIH9,,,,MLST.Citrobacter_freundii.166,,,,2018-01-29T00:00:00Z,,PRJNA430813,SAMN04287052,GCA_002903305.1,,"CP026238,CP026240,CP026241,CP026242,CP026239",,NIH,,PacBio RSII,205x,canu v. 1.3,1,4,5,5688355,51.608135,5884,5741,None,patients and hospital environment,isolated from patients and hospital environment,2015,USA,United States,,,,,env_biome:waste water,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",,99.3,97.9,100,0.3,,Good,2018-05-25T20:32:16.833Z,2018-05-25T20:32:16.833Z
3135,2126982.6,Escherichia coli O18:H1 strain CFSAN067215,negative,,2126982,Complete,CFSAN067215,,,,"MLST.Escherichia_coli_1.73,MLST.Escherichia_coli_2.4",,,,2019-04-11T00:00:00Z,,PRJNA230969,SAMN08737532,GCA_004771135.1,,"CP028320,CP028321,CP028322,CP028323",,FDA/CFSAN,,PacBio,405.0x,HGAP v. 3.0,1,3,4,5242835,50.63415,5484,5362,None,,,2000,USA,USA:CA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Whole genome sequencing of cultured E. coli as part of the US Food and Drug Administration surveillance project for the rapid detection of foodborne contamination events.,collected_by:Dudley Lab/Penn State,99.9,98.8,,,,Good,2019-07-14T17:54:05.102Z,2019-07-14T17:54:05.102Z
3153,2259134.3,Sutterella sp. 6FBBBH3,negative,,2494234,Complete,6FBBBH3,,,,,,JCM:32470,,2018-10-10T00:00:00Z,,PRJDB7182,SAMD00129657,GCA_003609995.1,,AP018786,,"Microbe Division/ Japan Collection of Microorganisms, RIKEN BioResource Research Center",,PacBio RSII,Unknown,HGAP v. 3.0,1,,1,2725161,62.83915,2363,2113,Stool,fecal sample of a healthy Japanese man,isolated from a fecal sample of a healthy Japanese man,2/28/17,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Strain 6FBBBH3, which is an obligately anaerobic, non-pigmented, non-spore-forming, non-motile, Gram-stain-negative cocci, was isolated from a fecal sample of a healthy Japanese man. Strain 6FBBBH3 was affiliated to the genus Sutterella, with highest similarity to S. stercoricanis CCUG 47620T (97.1 %), followed by S. parvirubra YIT 11816T (96.6 %) and S. wadsworthensis WAL 7877 (95.2 %). We analyzed the draft genome sequence of strain 6FBBBH3.",,96.6,95.5,,,,Good,2018-11-28T19:45:25.592Z,2018-11-28T19:45:25.592Z
3155,2420308.3,Streptococcus sp. FDAARGOS_520 strain Not applicable,positive,,2420308,Complete,Not applicable,,,,MLST.Streptococcus_agalactiae.28,,FDA:FDAARGOS_520,,2018-11-21T00:00:00Z,,PRJNA231221,SAMN10163214,GCA_003812685.1,,CP033810,,US Food and Drug Administration,,Pacbio; Illumina,29.71x,Canu v. 1.4,1,,1,2099619,35.48644,2150,2106,Sputum,sputum,,3/8/16,,,,,,,,"Human, Homo sapiens",female,22Y,Cystic fibrosis,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Children's National Hospital,100,99.8,,,,Good,2018-11-30T03:11:06.872Z,2018-11-30T03:11:06.872Z
3156,2420309.3,Streptococcus sp. FDAARGOS_521 strain Not applicable,positive,,2420309,Complete,Not applicable,,,,MLST.Streptococcus_agalactiae.19,,FDA:FDAARGOS_521,,2018-11-21T00:00:00Z,,PRJNA231221,SAMN10163215,GCA_003812465.1,,CP033809,,US Food and Drug Administration,,Pacbio; Illumina,29.53x,Canu v. 1.4,1,,1,2157002,35.62106,2260,2198,Vagina,Miscellaneous vagina,,1/7/16,,,,,,,,"Human, Homo sapiens",female,19Y,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Children's National Hospital,100,99.6,,,,Good,2018-11-30T03:05:02.664Z,2018-11-30T03:05:02.664Z
